"PG.Genes","PG.ProteinAccessions","PG.ProteinDescriptions","PG.ProteinNames"
"NABP2","Q9BQ15","SOSS complex subunit B1","SOSB1_HUMAN"
"ZFYVE21","Q9BQ24","Zinc finger FYVE domain-containing protein 21","ZFY21_HUMAN"
"DDX50","Q9BQ39","ATP-dependent RNA helicase DDX50","DDX50_HUMAN"
"ELAC2","Q9BQ52","Zinc phosphodiesterase ELAC protein 2","RNZ2_HUMAN"
"TRIR","Q9BQ61","Telomerase RNA component interacting RNase","TRIR_HUMAN"
"GRWD1","Q9BQ67","Glutamate-rich WD repeat-containing protein 1","GRWD1_HUMAN"
"MACROD1","Q9BQ69","ADP-ribose glycohydrolase MACROD1","MACD1_HUMAN"
"TCF25","Q9BQ70","Transcription factor 25","TCF25_HUMAN"
"TBL1Y","Q9BQ87","F-box-like/WD repeat-containing protein TBL1Y","TBL1Y_HUMAN"
"ECSIT","Q9BQ95","Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial","ECSIT_HUMAN"
"WDR77","Q9BQA1","Methylosome protein 50","MEP50_HUMAN"
"DPH2","Q9BQC3","2-(3-amino-3-carboxypropyl)histidine synthase subunit 2","DPH2_HUMAN"
"MRPL57","Q9BQC6","Ribosomal protein 63, mitochondrial","RT63_HUMAN"
"SELENOS","Q9BQE4","Selenoprotein S","SELS_HUMAN"
"APOL2","Q9BQE5","Apolipoprotein L2","APOL2_HUMAN"
"MYBBP1A","Q9BQG0","Myb-binding protein 1A","MBB1A_HUMAN"
"NUDT12","Q9BQG2","NAD-capped RNA hydrolase NUDT12","NUD12_HUMAN"
"AIF1L","Q9BQI0","Allograft inflammatory factor 1-like","AIF1L_HUMAN"
"EIF2AK1","Q9BQI3","Eukaryotic translation initiation factor 2-alpha kinase 1","E2AK1_HUMAN"
"SLF1","Q9BQI6","SMC5-SMC6 complex localization factor protein 1","SLF1_HUMAN"
"FERMT1","Q9BQL6","Fermitin family homolog 1","FERM1_HUMAN"
"MGME1","Q9BQP7","Mitochondrial genome maintenance exonuclease 1","MGME1_HUMAN"
"FYCO1","Q9BQS8","FYVE and coiled-coil domain-containing protein 1","FYCO1_HUMAN"
"ACBD6","Q9BR61","Acyl-CoA-binding domain-containing protein 6","ACBD6_HUMAN"
"CORO1B","Q9BR76","Coronin-1B","COR1B_HUMAN"
"TXNDC17","Q9BRA2","Thioredoxin domain-containing protein 17","TXD17_HUMAN"
"BUD13","Q9BRD0","BUD13 homolog","BUD13_HUMAN"
"CPPED1","Q9BRF8","Serine/threonine-protein phosphatase CPPED1","CPPED_HUMAN"
"VPS25","Q9BRG1","Vacuolar protein-sorting-associated protein 25","VPS25_HUMAN"
"NUDT16L1","Q9BRJ7","Tudor-interacting repair regulator protein","TIRR_HUMAN"
"SRSF8","Q9BRL6","Serine/arginine-rich splicing factor 8","SRSF8_HUMAN"
"PDCD2L","Q9BRP1","Programmed cell death protein 2-like","PDD2L_HUMAN"
"PAAF1","Q9BRP4","Proteasomal ATPase-associated factor 1","PAAF1_HUMAN"
"PYM1","Q9BRP8","Partner of Y14 and mago","PYM1_HUMAN"
"PYGO2","Q9BRQ0","Pygopus homolog 2","PYGO2_HUMAN"
"AIFM2","Q9BRQ8","Ferroptosis suppressor protein 1","FSP1_HUMAN"
"PGAP4","Q9BRR3","Post-GPI attachment to proteins factor 4","PGAP4_HUMAN"
"ADPGK","Q9BRR6","ADP-dependent glucokinase","ADPGK_HUMAN"
"GPATCH1","Q9BRR8","G patch domain-containing protein 1","GPTC1_HUMAN"
"RIOK1","Q9BRS2","Serine/threonine-protein kinase RIO1","RIOK1_HUMAN"
"LARP6","Q9BRS8","La-related protein 6","LARP6_HUMAN"
"UQCC2","Q9BRT2;V5IRT4","Ubiquinol-cytochrome-c reductase complex assembly factor 2;Ubiquinol-cytochrome-c reductase complex assembly factor 2 (Fragment)","UQCC2_HUMAN;V5IRT4_HUMAN"
"MIEN1","Q9BRT3","Migration and invasion enhancer 1","MIEN1_HUMAN"
"LLPH","Q9BRT6","Protein LLP homolog","LLPH_HUMAN"
"GINS4","Q9BRT9","DNA replication complex GINS protein SLD5","SLD5_HUMAN"
"UTP23","Q9BRU9","rRNA-processing protein UTP23 homolog","UTP23_HUMAN"
"SIKE1","Q9BRV8","Suppressor of IKBKE 1","SIKE1_HUMAN"
"PELO","Q9BRX2","Protein pelota homolog","PELO_HUMAN"
"GINS3","Q9BRX5","DNA replication complex GINS protein PSF3","PSF3_HUMAN"
"PRXL2A","Q9BRX8","Peroxiredoxin-like 2A","PXL2A_HUMAN"
"WDR83","Q9BRX9","WD repeat domain-containing protein 83","WDR83_HUMAN"
"TRIM56","Q9BRZ2","E3 ubiquitin-protein ligase TRIM56","TRI56_HUMAN"
"ANAPC13","Q9BS18","Anaphase-promoting complex subunit 13","APC13_HUMAN"
"ERP44","Q9BS26","Endoplasmic reticulum resident protein 44","ERP44_HUMAN"
"LXN","Q9BS40","Latexin","LXN_HUMAN"
"NOL10","Q9BSC4","Nucleolar protein 10","NOL10_HUMAN"
"NTPCR","Q9BSD7","Cancer-related nucleoside-triphosphatase","NTPCR_HUMAN"
"AGMAT","Q9BSE5","Agmatinase, mitochondrial","SPEB_HUMAN"
"TIMM29","Q9BSF4","Mitochondrial import inner membrane translocase subunit Tim29","TIM29_HUMAN"
"PRADC1","Q9BSG0","Protease-associated domain-containing protein 1","PADC1_HUMAN"
"TACO1","Q9BSH4","Translational activator of cytochrome c oxidase 1","TACO1_HUMAN"
"HDHD3","Q9BSH5","Haloacid dehalogenase-like hydrolase domain-containing protein 3","HDHD3_HUMAN"
"ESYT1","Q9BSJ8","Extended synaptotagmin-1","ESYT1_HUMAN"
"MARVELD1","Q9BSK0","MARVEL domain-containing protein 1","MALD1_HUMAN"
"SLC25A33","Q9BSK2","Solute carrier family 25 member 33","S2533_HUMAN"
"UBAC1","Q9BSL1","Ubiquitin-associated domain-containing protein 1","UBAC1_HUMAN"
"PCGF1","Q9BSM1","Polycomb group RING finger protein 1","PCGF1_HUMAN"
"YIPF4","Q9BSR8","Protein YIPF4","YIPF4_HUMAN"
"PHAF1","Q9BSU1","Phagosome assembly factor 1","PHAF1_HUMAN"
"TSEN34","Q9BSV6","tRNA-splicing endonuclease subunit Sen34","SEN34_HUMAN"
"CHCHD5","Q9BSY4","Coiled-coil-helix-coiled-coil-helix domain-containing protein 5","CHCH5_HUMAN"
"CNPY3","Q9BT09","Protein canopy homolog 3","CNPY3_HUMAN"
"MTG1","Q9BT17","Mitochondrial ribosome-associated GTPase 1","MTG1_HUMAN"
"ALG1","Q9BT22","Chitobiosyldiphosphodolichol beta-mannosyltransferase","ALG1_HUMAN"
"HAUS8","Q9BT25","HAUS augmin-like complex subunit 8","HAUS8_HUMAN"
"ALKBH7","Q9BT30","Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial","ALKB7_HUMAN"
"INPP5K","Q9BT40","Inositol polyphosphate 5-phosphatase K","INP5K_HUMAN"
"NDFIP1","Q9BT67","NEDD4 family-interacting protein 1","NFIP1_HUMAN"
"PSMG3","Q9BT73","Proteasome assembly chaperone 3","PSMG3_HUMAN"
"COPS4","Q9BT78","COP9 signalosome complex subunit 4","CSN4_HUMAN"
"WAC","Q9BTA9","WW domain-containing adapter protein with coiled-coil","WAC_HUMAN"
"DIDO1","Q9BTC0","Death-inducer obliterator 1","DIDO1_HUMAN"
"MCMBP","Q9BTE3","Mini-chromosome maintenance complex-binding protein","MCMBP_HUMAN"
"AARSD1","Q9BTE6","Alanyl-tRNA editing protein Aarsd1","AASD1_HUMAN"
"DCUN1D5","Q9BTE7","DCN1-like protein 5","DCNL5_HUMAN"
"THUMPD2","Q9BTF0","THUMP domain-containing protein 2","THUM2_HUMAN"
"PAGR1","Q9BTK6","PAXIP1-associated glutamate-rich protein 1","PAGR1_HUMAN"
"RAMAC","Q9BTL3","RNA guanine-N7 methyltransferase activating subunit","RAMAC_HUMAN"
"URM1","Q9BTM9","Ubiquitin-related modifier 1","URM1_HUMAN"
"ANP32E","Q9BTT0","Acidic leucine-rich nuclear phosphoprotein 32 family member E","AN32E_HUMAN"
"MED10","Q9BTT4","Mediator of RNA polymerase II transcription subunit 10","MED10_HUMAN"
"LRRC1","Q9BTT6","Leucine-rich repeat-containing protein 1","LRRC1_HUMAN"
"PI4K2A","Q9BTU6","Phosphatidylinositol 4-kinase type 2-alpha","P4K2A_HUMAN"
"TMEM43","Q9BTV4","Transmembrane protein 43","TMM43_HUMAN"
"DPH7","Q9BTV6","Diphthine methyltransferase","DPH7_HUMAN"
"CABLES2","Q9BTV7","CDK5 and ABL1 enzyme substrate 2","CABL2_HUMAN"
"NDC1","Q9BTX1","Nucleoporin NDC1","NDC1_HUMAN"
"TTPAL","Q9BTX7","Alpha-tocopherol transfer protein-like","TTPAL_HUMAN"
"FUCA2","Q9BTY2","Plasma alpha-L-fucosidase","FUCO2_HUMAN"
"HGH1","Q9BTY7","Protein HGH1 homolog","HGH1_HUMAN"
"DHRS4","Q9BTZ2","Dehydrogenase/reductase SDR family member 4","DHRS4_HUMAN"
"THTPA","Q9BU02","Thiamine-triphosphatase","THTPA_HUMAN"
"LMF2","Q9BU23","Lipase maturation factor 2","LMF2_HUMAN"
"NDUFAF3","Q9BU61","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3","NDUF3_HUMAN"
"CENPO","Q9BU64","Centromere protein O","CENPO_HUMAN"
"MMTAG2","Q9BU76","Multiple myeloma tumor-associated protein 2","MMTA2_HUMAN"
"DOHH","Q9BU89","Deoxyhypusine hydroxylase","DOHH_HUMAN"
"SPINDOC","Q9BUA3","Spindlin interactor and repressor of chromatin-binding protein","SPNDC_HUMAN"
"ADAT1","Q9BUB4","tRNA-specific adenosine deaminase 1","ADAT1_HUMAN"
"TMEM70","Q9BUB7","Transmembrane protein 70, mitochondrial","TMM70_HUMAN"
"MED18","Q9BUE0","Mediator of RNA polymerase II transcription subunit 18","MED18_HUMAN"
"ISCA1","Q9BUE6","Iron-sulfur cluster assembly 1 homolog, mitochondrial","ISCA1_HUMAN"
"TUBB6","Q9BUF5","Tubulin beta-6 chain","TBB6_HUMAN"
"CRB3","Q9BUF7","Protein crumbs homolog 3","CRUM3_HUMAN"
"PAXX","Q9BUH6","Protein PAXX","PAXX_HUMAN"
"POLR3C","Q9BUI4","DNA-directed RNA polymerase III subunit RPC3","RPC3_HUMAN"
"HNRNPUL1","Q9BUJ2","Heterogeneous nuclear ribonucleoprotein U-like protein 1","HNRL1_HUMAN"
"MSTO1","Q9BUK6","Protein misato homolog 1","MSTO1_HUMAN"
"PHF23","Q9BUL5","PHD finger protein 23","PHF23_HUMAN"
"PDCD10","Q9BUL8","Programmed cell death protein 10","PDC10_HUMAN"
"RPP25","Q9BUL9","Ribonuclease P protein subunit p25","RPP25_HUMAN"
"DERL1","Q9BUN8","Derlin-1","DERL1_HUMAN"
"EFHD1","Q9BUP0","EF-hand domain-containing protein D1","EFHD1_HUMAN"
"HTATIP2","Q9BUP3","Oxidoreductase HTATIP2","HTAI2_HUMAN"
"WRAP53","Q9BUR4","Telomerase Cajal body protein 1","TCAB1_HUMAN"
"BDH2","Q9BUT1","Dehydrogenase/reductase SDR family member 6","DHRS6_HUMAN"
"MCRIP2","Q9BUT9","MAPK regulated corepressor interacting protein 2","MCRI2_HUMAN"
"RAB5IF","Q9BUV8","Respirasome Complex Assembly Factor 1","RCAF1_HUMAN"
"BBLN","Q9BUW7","Bublin coiled-coil protein","BBLN_HUMAN"
"TRAF4","Q9BUZ4","TNF receptor-associated factor 4","TRAF4_HUMAN"
"ALG12","Q9BV10","Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase","ALG12_HUMAN"
"C1orf50","Q9BV19","Uncharacterized protein C1orf50","CA050_HUMAN"
"MRI1","Q9BV20","Methylthioribose-1-phosphate isomerase","MTNA_HUMAN"
"ABHD6","Q9BV23","Monoacylglycerol lipase ABHD6","ABHD6_HUMAN"
"WDR18","Q9BV38;U3KQC1","WD repeat-containing protein 18;WD repeat-containing protein 18 (Fragment)","WDR18_HUMAN;U3KQC1_HUMAN"
"VAMP8","Q9BV40","Vesicle-associated membrane protein 8","VAMP8_HUMAN"
"THUMPD3","Q9BV44","tRNA (guanine(6)-N2)-methyltransferase THUMP3","THUM3_HUMAN"
"ADI1","Q9BV57","Acireductone dioxygenase","MTND_HUMAN"
"CEP250","Q9BV73","Centrosome-associated protein CEP250","CP250_HUMAN"
"MECR","Q9BV79","Enoyl-[acyl-carrier-protein] reductase, mitochondrial","MECR_HUMAN"
"EMC6","Q9BV81","ER membrane protein complex subunit 6","EMC6_HUMAN"
"NTMT1","Q9BV86","N-terminal Xaa-Pro-Lys N-methyltransferase 1","NTM1A_HUMAN"
"EDEM2","Q9BV94","ER degradation-enhancing alpha-mannosidase-like protein 2","EDEM2_HUMAN"
"KATNB1","Q9BVA0","Katanin p80 WD40 repeat-containing subunit B1","KTNB1_HUMAN"
"DSCC1","Q9BVC3","Sister chromatid cohesion protein DCC1","DCC1_HUMAN"
"MLST8","Q9BVC4","Target of rapamycin complex subunit LST8","LST8_HUMAN"
"C2orf49","Q9BVC5","Ashwin","ASHWN_HUMAN"
"TMEM109","Q9BVC6","Transmembrane protein 109","TM109_HUMAN"
"PTDSS2","Q9BVG9","Phosphatidylserine synthase 2","PTSS2_HUMAN"
"PHF20","Q9BVI0","PHD finger protein 20","PHF20_HUMAN"
"NOC4L","Q9BVI4","Nucleolar complex protein 4 homolog","NOC4L_HUMAN"
"UTP14A","Q9BVJ6","U3 small nucleolar RNA-associated protein 14 homolog A","UT14A_HUMAN"
"TMED9","Q9BVK6","Transmembrane emp24 domain-containing protein 9","TMED9_HUMAN"
"SELENOO","Q9BVL4","Protein adenylyltransferase SelO, mitochondrial","SELO_HUMAN"
"DPCD","Q9BVM2","Protein DPCD","DPCD_HUMAN"
"GGACT","Q9BVM4","Gamma-glutamylaminecyclotransferase","GGACT_HUMAN"
"GNL3","Q9BVP2","Guanine nucleotide-binding protein-like 3","GNL3_HUMAN"
"SPATA5L1","Q9BVQ7","Ribosome biogenesis protein SPATA5L1","SPA5L_HUMAN"
"RIOK2","Q9BVS4","Serine/threonine-protein kinase RIO2","RIOK2_HUMAN"
"TRMT61B","Q9BVS5","tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial","TR61B_HUMAN"
"TIMM21","Q9BVV7","Mitochondrial import inner membrane translocase subunit Tim21","TIM21_HUMAN"
"TIPIN","Q9BVW5","TIMELESS-interacting protein","TIPIN_HUMAN"
"KIFC1","Q9BW19","Kinesin-like protein KIFC1","KIFC1_HUMAN"
"NUP85","Q9BW27","Nuclear pore complex protein Nup85","NUP85_HUMAN"
"ELOVL1","Q9BW60","Elongation of very long chain fatty acids protein 1","ELOV1_HUMAN"
"DDA1","Q9BW61","DET1- and DDB1-associated protein 1","DDA1_HUMAN"
"HIRIP3","Q9BW71","HIRA-interacting protein 3","HIRP3_HUMAN"
"HIGD2A","Q9BW72","HIG1 domain family member 2A, mitochondrial","HIG2A_HUMAN"
"IFT27","Q9BW83","Intraflagellar transport protein 27 homolog","IFT27_HUMAN"
"YJU2","Q9BW85","Splicing factor YJU2","YJU2_HUMAN"
"NUDT9","Q9BW91","ADP-ribose pyrophosphatase, mitochondrial","NUDT9_HUMAN"
"TARS2","Q9BW92","Threonine--tRNA ligase, mitochondrial","SYTM_HUMAN"
"ACAT2","Q9BWD1","Acetyl-CoA acetyltransferase, cytosolic","THIC_HUMAN"
"REPIN1","Q9BWE0","Replication initiator 1","REPI1_HUMAN"
"RBM4","Q9BWF3","RNA-binding protein 4","RBM4_HUMAN"
"SCNM1","Q9BWG6","Sodium channel modifier 1","SCNM1_HUMAN"
"FUNDC2","Q9BWH2","FUN14 domain-containing protein 2","FUND2_HUMAN"
"RPAP1","Q9BWH6","RNA polymerase II-associated protein 1","RPAP1_HUMAN"
"SF3B5","Q9BWJ5","Splicing factor 3B subunit 5","SF3B5_HUMAN"
"CHID1","Q9BWS9","Chitinase domain-containing protein 1","CHID1_HUMAN"
"PAPOLG","Q9BWT3","Poly(A) polymerase gamma","PAPOG_HUMAN"
"GTPBP2","Q9BX10","GTP-binding protein 2","GTPB2_HUMAN"
"LSM14B","Q9BX40","Protein LSM14 homolog B","LS14B_HUMAN"
"HINT2","Q9BX68","Adenosine 5'-monophosphoramidase HINT2","HINT2_HUMAN"
"CARD6","Q9BX69","Caspase recruitment domain-containing protein 6","CARD6_HUMAN"
"BTBD2","Q9BX70","BTB/POZ domain-containing protein 2","BTBD2_HUMAN"
"SGPP1","Q9BX95","Sphingosine-1-phosphate phosphatase 1","SGPP1_HUMAN"
"PLVAP","Q9BX97","Plasmalemma vesicle-associated protein","PLVAP_HUMAN"
"OSBPL11","Q9BXB4","Oxysterol-binding protein-related protein 11","OSB11_HUMAN"
"OSBPL10","Q9BXB5","Oxysterol-binding protein-related protein 10","OSB10_HUMAN"
"BBC3","Q9BXH1","Bcl-2-binding component 3, isoforms 1/2","BBC3_HUMAN"
"SLC25A2","Q9BXI2","Mitochondrial ornithine transporter 2","ORNT2_HUMAN"
"C1QTNF6","Q9BXI9","Complement C1q tumor necrosis factor-related protein 6","C1QT6_HUMAN"
"NAA15","Q9BXJ9","N-alpha-acetyltransferase 15, NatA auxiliary subunit","NAA15_HUMAN"
"KLF16","Q9BXK1","Krueppel-like factor 16","KLF16_HUMAN"
"BCL2L13","Q9BXK5","Bcl-2-like protein 13","B2L13_HUMAN"
"ASPN","Q9BXN1","Asporin","ASPN_HUMAN"
"SLC12A9","Q9BXP2","Solute carrier family 12 member 9","S12A9_HUMAN"
"SRRT","Q9BXP5","Serrate RNA effector molecule homolog","SRRT_HUMAN"
"QTRT1","Q9BXR0","Queuine tRNA-ribosyltransferase catalytic subunit 1","TGT_HUMAN"
"AP1M1","Q9BXS5","AP-1 complex subunit mu-1","AP1M1_HUMAN"
"NUSAP1","Q9BXS6","Nucleolar and spindle-associated protein 1","NUSAP_HUMAN"
"GON7","Q9BXV9","EKC/KEOPS complex subunit GON7","GON7_HUMAN"
"OSBPL1A","Q9BXW6","Oxysterol-binding protein-related protein 1","OSBL1_HUMAN"
"HDHD5","Q9BXW7","Haloacid dehalogenase-like hydrolase domain-containing 5","HDHD5_HUMAN"
"FANCD2","Q9BXW9","Fanconi anemia group D2 protein","FACD2_HUMAN"
"MAK16","Q9BXY0","Protein MAK16 homolog","MAK16_HUMAN"
"SCAPER","Q9BY12","S phase cyclin A-associated protein in the endoplasmic reticulum","SCAPE_HUMAN"
"ITPA","Q9BY32","Inosine triphosphate pyrophosphatase","ITPA_HUMAN"
"CHMP4A","Q9BY43","Charged multivesicular body protein 4a","CHM4A_HUMAN"
"EIF2A","Q9BY44","Eukaryotic translation initiation factor 2A","EIF2A_HUMAN"
"POLDIP3","Q9BY77","Polymerase delta-interacting protein 3","PDIP3_HUMAN"
"KIAA1671","Q9BY89","Uncharacterized protein KIAA1671","K1671_HUMAN"
"GNB1L","Q9BYB4","Guanine nucleotide-binding protein subunit beta-like protein 1","GNB1L_HUMAN"
"MRPL32","Q9BYC8","39S ribosomal protein L32, mitochondrial","RM32_HUMAN"
"MRPL20","Q9BYC9","39S ribosomal protein L20, mitochondrial","RM20_HUMAN"
"MRPL13","Q9BYD1","39S ribosomal protein L13, mitochondrial","RM13_HUMAN"
"MRPL9","Q9BYD2","39S ribosomal protein L9, mitochondrial","RM09_HUMAN"
"MRPL1","Q9BYD6","39S ribosomal protein L1, mitochondrial","RM01_HUMAN"
"PCGF6","Q9BYE7","Polycomb group RING finger protein 6","PCGF6_HUMAN"
"NIFK","Q9BYG3","MKI67 FHA domain-interacting nucleolar phosphoprotein","MK67I_HUMAN"
"PARD6B","Q9BYG5","Partitioning defective 6 homolog beta","PAR6B_HUMAN"
"HYCC1","Q9BYI3","Hyccin","HYCCI_HUMAN"
"YTHDF1","Q9BYJ9","YTH domain-containing family protein 1","YTHD1_HUMAN"
"HELZ2","Q9BYK8","Helicase with zinc finger domain 2","HELZ2_HUMAN"
"SRXN1","Q9BYN0","Sulfiredoxin-1","SRXN1_HUMAN"
"MRPS26","Q9BYN8","28S ribosomal protein S26, mitochondrial","RT26_HUMAN"
"NLN","Q9BYT8","Neurolysin, mitochondrial","NEUL_HUMAN"
"TBC1D2","Q9BYX2","TBC1 domain family member 2A","TBD2A_HUMAN"
"PANK2","Q9BZ23","Pantothenate kinase 2, mitochondrial","PANK2_HUMAN"
"FRMD8","Q9BZ67","FERM domain-containing protein 8","FRMD8_HUMAN"
"PITPNM3","Q9BZ71","Membrane-associated phosphatidylinositol transfer protein 3","PITM3_HUMAN"
"NSD3","Q9BZ95","Histone-lysine N-methyltransferase NSD3","NSD3_HUMAN"
"PCDH11X","Q9BZA7","Protocadherin-11 X-linked","PC11X_HUMAN"
"MRPL37","Q9BZE1","39S ribosomal protein L37, mitochondrial","RM37_HUMAN"
"PUS3","Q9BZE2","tRNA pseudouridine(38/39) synthase","PUS3_HUMAN"
"GTPBP4","Q9BZE4","GTP-binding protein 4","GTPB4_HUMAN"
"ASPSCR1","Q9BZE9","Tether containing UBX domain for GLUT4","ASPC1_HUMAN"
"OSBPL8","Q9BZF1","Oxysterol-binding protein-related protein 8","OSBL8_HUMAN"
"OSBPL6","Q9BZF3","Oxysterol-binding protein-related protein 6","OSBL6_HUMAN"
"UACA","Q9BZF9","Uveal autoantigen with coiled-coil domains and ankyrin repeats","UACA_HUMAN"
"RAB34","Q9BZG1","Ras-related protein Rab-34","RAB34_HUMAN"
"WDR11","Q9BZH6","WD repeat-containing protein 11","WDR11_HUMAN"
"UPF3B","Q9BZI7","Regulator of nonsense transcripts 3B","REN3B_HUMAN"
"TBL1XR1","Q9BZK7","F-box-like/WD repeat-containing protein TBL1XR1","TBL1R_HUMAN"
"UBL5","Q9BZL1","Ubiquitin-like protein 5","UBL5_HUMAN"
"PPP1R12C","Q9BZL4","Protein phosphatase 1 regulatory subunit 12C","PP12C_HUMAN"
"PRKD2","Q9BZL6","Serine/threonine-protein kinase D2","KPCD2_HUMAN"
"ULBP3","Q9BZM4","UL16-binding protein 3","ULBP3_HUMAN"
"UBXN6","Q9BZV1","UBX domain-containing protein 6","UBXN6_HUMAN"
"UCK2","Q9BZX2","Uridine-cytidine kinase 2","UCK2_HUMAN"
"API5","Q9BZZ5","Apoptosis inhibitor 5","API5_HUMAN"
"DPY30","Q9C005","Protein dpy-30 homolog","DPY30_HUMAN"
"TRIM4","Q9C037","E3 ubiquitin-protein ligase TRIM4","TRIM4_HUMAN"
"UNK","Q9C0B0","RING finger protein unkempt homolog","UNK_HUMAN"
"ZDHHC5","Q9C0B5","Palmitoyltransferase ZDHHC5","ZDHC5_HUMAN"
"TANGO6","Q9C0B7","Transport and Golgi organization protein 6 homolog","TNG6_HUMAN"
"TNKS1BP1","Q9C0C2","182 kDa tankyrase-1-binding protein","TB182_HUMAN"
"SEMA4C","Q9C0C4","Semaphorin-4C","SEM4C_HUMAN"
"UBE2O","Q9C0C9","(E3-independent) E2 ubiquitin-conjugating enzyme","UBE2O_HUMAN"
"ZYG11B","Q9C0D3","Protein zyg-11 homolog B","ZY11B_HUMAN"
"TANC1","Q9C0D5","Protein TANC1","TANC1_HUMAN"
"XPO4","Q9C0E2","Exportin-4","XPO4_HUMAN"
"LNPK","Q9C0E8","Endoplasmic reticulum junction formation protein lunapark","LNP_HUMAN"
"CEP44","Q9C0F1","Centrosomal protein of 44 kDa","CEP44_HUMAN"
"MTMR12","Q9C0I1","Myotubularin-related protein 12","MTMRC_HUMAN"
"WDR33","Q9C0J8","pre-mRNA 3' end processing protein WDR33","WDR33_HUMAN"
"WDR12","Q9GZL7","Ribosome biogenesis protein WDR12","WDR12_HUMAN"
"ACTR6","Q9GZN1","Actin-related protein 6","ARP6_HUMAN"
"C20orf27","Q9GZN8","UPF0687 protein C20orf27","CT027_HUMAN"
"PITHD1","Q9GZP4","PITH domain-containing protein 1","PITH1_HUMAN"
"IMUP","Q9GZP8","Immortalization up-regulated protein","IMUP_HUMAN"
"DERL2","Q9GZP9","Derlin-2","DERL2_HUMAN"
"COMMD5","Q9GZQ3","COMM domain-containing protein 5","COMD5_HUMAN"
"REXO4","Q9GZR2","RNA exonuclease 4","REXO4_HUMAN"
"DDX24","Q9GZR7","ATP-dependent RNA helicase DDX24","DDX24_HUMAN"
"POLR1E","Q9GZS1","DNA-directed RNA polymerase I subunit RPA49","RPA49_HUMAN"
"SKIC8","Q9GZS3","SKI8 subunit of superkiller complex protein","SKI8_HUMAN"
"SLIRP","Q9GZT3","SRA stem-loop-interacting RNA-binding protein, mitochondrial","SLIRP_HUMAN"
"SRR","Q9GZT4","Serine racemase","SRR_HUMAN"
"CCDC90B","Q9GZT6","Coiled-coil domain-containing protein 90B, mitochondrial","CC90B_HUMAN"
"NIF3L1","Q9GZT8","NIF3-like protein 1","NIF3L_HUMAN"
"EGLN1","Q9GZT9","Egl nine homolog 1","EGLN1_HUMAN"
"MCOLN1","Q9GZU1","Mucolipin-1","MCLN1_HUMAN"
"PSME3IP1","Q9GZU8","PSME3-interacting protein","PIP30_HUMAN"
"ZNF350","Q9GZX5","Zinc finger protein 350","ZN350_HUMAN"
"MFF","Q9GZY8","Mitochondrial fission factor","MFF_HUMAN"
"NACA2","Q9H009","Nascent polypeptide-associated complex subunit alpha-2","NACA2_HUMAN"
"MTFR1L","Q9H019","Mitochondrial fission regulator 1-like","MFR1L_HUMAN"
"TMEM126A","Q9H061","Transmembrane protein 126A","T126A_HUMAN"
"PAIP1","Q9H074","Polyadenylate-binding protein-interacting protein 1","PAIP1_HUMAN"
"CLPB","Q9H078","Caseinolytic peptidase B protein homolog","CLPB_HUMAN"
"MIS12","Q9H081","Protein MIS12 homolog","MIS12_HUMAN"
"RAB33B","Q9H082","Ras-related protein Rab-33B","RB33B_HUMAN"
"LSG1","Q9H089","Large subunit GTPase 1 homolog","LSG1_HUMAN"
"FAM107B","Q9H098","Protein FAM107B","F107B_HUMAN"
"NAT10","Q9H0A0","RNA cytidine acetyltransferase","NAT10_HUMAN"
"COMMD4","Q9H0A8","COMM domain-containing protein 4","COMD4_HUMAN"
"KLC2","Q9H0B6","Kinesin light chain 2","KLC2_HUMAN"
"SLC25A31","Q9H0C2","ADP/ATP translocase 4","ADT4_HUMAN"
"ILKAP","Q9H0C8","Integrin-linked kinase-associated serine/threonine phosphatase 2C","ILKAP_HUMAN"
"XRN2","Q9H0D6","5'-3' exoribonuclease 2","XRN2_HUMAN"
"SHARPIN","Q9H0F6","Sharpin","SHRPN_HUMAN"
"ARL6","Q9H0F7","ADP-ribosylation factor-like protein 6","ARL6_HUMAN"
"NSRP1","Q9H0G5","Nuclear speckle splicing regulatory protein 1","NSRP1_HUMAN"
"RACGAP1","Q9H0H5","Rac GTPase-activating protein 1","RGAP1_HUMAN"
"PARP12","Q9H0J9","Protein mono-ADP-ribosyltransferase PARP12","PAR12_HUMAN"
"SIK2","Q9H0K1","Serine/threonine-protein kinase SIK2","SIK2_HUMAN"
"PUS7L","Q9H0K6","Pseudouridylate synthase PUS7L","PUS7L_HUMAN"
"CSTF2T","Q9H0L4","Cleavage stimulation factor subunit 2 tau variant","CSTFT_HUMAN"
"RAB6C","Q9H0N0","Ras-related protein Rab-6C","RAB6C_HUMAN"
"NT5C3A","Q9H0P0;X6RM59","Cytosolic 5'-nucleotidase 3A;5'-nucleotidase","5NT3A_HUMAN;X6RM59_HUMAN"
"QRSL1","Q9H0R6","Glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial","GATA_HUMAN"
"DDX47","Q9H0S4","Probable ATP-dependent RNA helicase DDX47","DDX47_HUMAN"
